workerID,gender,age,income,language,order,imageID,imageCategory,utterance,stateRating,sad,disgusted,angry,neutral,content,happy,excited
1,F,25,4,English,1,2,amazing,terrible,1,0.94,0.93,0.93,0.06,0.07,0.06,0.06
1,F,25,4,English,2,1,amazing,amazing,5,0.05,0,0.03,0.03,0.95,0.98,0.95
1,F,25,4,English,3,4,ok,amazing,5,0.05,0.03,0.04,0.05,0.86,0.8,0.86
1,F,25,4,English,4,9,terrible,terrible,1,0.88,0.99,0.89,0.03,0.02,0.03,0.02
1,F,25,4,English,5,7,terrible,good,4,0.01,0.14,0.08,0.81,0.97,0.56,0.57
1,F,25,4,English,6,5,ok,amazing,5,0.03,0.03,0.04,0.04,0.9,0.91,0.88
1,F,25,4,English,7,8,terrible,bad,2,0.98,0.99,0.98,0.01,0.01,0.03,0.03
1,F,25,4,English,8,3,amazing,bad,2,1,0.99,0.99,0,0.01,0.01,0.01
1,F,25,4,English,9,6,ok,bad,2,1,0.98,0.98,0.02,0.02,0.03,0.01
2,M,35,8,English,1,4,ok,amazing,5,0,0,0,0,0.48,0.96,0.88
2,M,35,8,English,2,3,amazing,terrible,1,0.77,0.47,0.52,0.06,0,0,0
2,M,35,8,English,3,7,terrible,good,4,0,0,0,0.18,0.52,0.57,0.46
2,M,35,8,English,4,2,amazing,ok,3,0,0,0,0.87,0.45,0.24,0.08
2,M,35,8,English,5,1,amazing,terrible,1,0.61,0.16,0.34,0.26,0,0,0
2,M,35,8,English,6,9,terrible,bad,2,0.46,0.45,0.22,0.25,0,0,0
2,M,35,8,English,7,6,ok,bad,2,0.44,0.46,0.46,0.2,0,0,0
2,M,35,8,English,8,5,ok,ok,3,0,0,0,0.95,0.45,0.44,0.18
2,M,35,8,English,9,8,terrible,good,4,0,0,0,0.34,0.72,0.53,0.27
3,F,45,6,English,1,2,amazing,good,4,0.01,0.01,0.02,0.97,0.78,0.55,0.54
3,F,45,6,English,2,3,amazing,terrible,1,0.03,0.01,0.02,0.05,0.08,0.09,0.03
3,F,45,6,English,3,4,ok,ok,3,0.16,0.01,0.03,0.49,0.45,0.15,0.09
3,F,45,6,English,4,8,terrible,bad,2,0.05,0.01,0.01,0.07,0.06,0.06,0.05
3,F,45,6,English,5,5,ok,good,4,0.04,0,0.02,0.43,0.28,0.22,0.11
3,F,45,6,English,6,7,terrible,good,4,0.02,0.02,0.01,0.09,0.3,0.2,0.29
3,F,45,6,English,7,6,ok,terrible,1,0.1,0.04,0.05,0.05,0.05,0.05,0.04
3,F,45,6,English,8,1,amazing,amazing,5,0.01,0.02,0.01,0.03,0.72,0.67,0.57
3,F,45,6,English,9,9,terrible,amazing,5,0.01,0.01,0.01,0.03,0.48,0.33,0.2
4,M,45,8,English,1,1,amazing,ok,5,0.07,0.12,0.05,0.54,0.29,0.3,0.27
4,M,45,8,English,2,9,terrible,good,2,0.05,0.07,0.01,0.54,0.54,0.52,0.47
4,M,45,8,English,3,4,ok,amazing,3,0.06,0.14,0.09,0.57,0.81,0.8,0.75
4,M,45,8,English,4,7,terrible,ok,3,0.13,0.02,0.17,0.48,0.28,0.36,0.11
4,M,45,8,English,5,2,amazing,bad,2,0.41,0.66,0.32,0.31,0.1,0.24,0.03
4,M,45,8,English,6,6,ok,bad,2,0.09,0.51,0.69,0.38,0.13,0.03,0.08
4,M,45,8,English,7,3,amazing,good,4,0.08,0.08,0.11,0.51,0.74,0.67,0.62
4,M,45,8,English,8,5,ok,good,4,0.05,0.07,0.1,0.45,0.65,0.79,0.7
4,M,45,8,English,9,8,terrible,amazing,5,0.07,0.05,0.04,0.48,0.84,0.89,0.92
5,M,35,4,english,1,1,amazing,ok,4,0,0.01,0.02,0.2,0.69,0.78,0.77
5,M,35,4,english,2,3,amazing,ok,4,0,0.01,0,0.11,0.72,0.78,0.74
5,M,35,4,english,3,7,terrible,good,4,0.03,0.05,0.06,0.2,0.4,0.77,0.59
5,M,35,4,english,4,9,terrible,ok,2,0.13,0.11,0.16,0.23,0.51,0.49,0.46
5,M,35,4,english,5,2,amazing,ok,4,0.02,0,0.01,0.1,0.65,0.84,0.66
5,M,35,4,english,6,4,ok,ok,4,0.06,0.04,0.02,0.37,0.36,0.56,0.37
5,M,35,4,english,7,8,terrible,ok,4,0,0.01,0.02,0.46,0.47,0.79,0.47
5,M,35,4,english,8,6,ok,bad,2,0.43,0.34,0.2,0.24,0.31,0.19,0.18
5,M,35,4,english,9,5,ok,terrible,1,0.67,0.57,0.6,0.29,0.12,0.17,0.1
6,F,35,6,english,1,2,amazing,terrible,2,0.05,0.07,0.02,0.2,0.51,0.81,0.74
6,F,35,6,english,2,8,terrible,ok,3,0.55,0.38,0.03,0.52,0.06,0.22,0.04
6,F,35,6,english,3,7,terrible,bad,4,0.69,0.84,0.01,0.03,0.06,0.02,0.04
6,F,35,6,english,4,3,amazing,amazing,5,0.02,0.04,0.04,0,0.91,0.9,0.93
6,F,35,6,english,5,9,terrible,amazing,1,0.67,0.72,0.18,0.04,0.21,0.09,0.07
6,F,35,6,english,6,4,ok,good,4,0.03,0.09,0.03,0.78,0.49,0.43,0.26
6,F,35,6,english,7,5,ok,terrible,2,0.04,0.2,0.02,0.72,0.56,0.19,0.09
6,F,35,6,english,8,1,amazing,good,4,0.01,0.03,0,0.03,0.81,0.72,0.42
6,F,35,6,english,9,6,ok,amazing,3,0.06,0.06,0.03,0.03,0.87,0.52,0.14
7,F,35,4,English,1,5,ok,good,4,0,0.01,0.06,0.63,0.6,0.79,0.42
7,F,35,4,English,2,2,amazing,bad,2,0.65,0.67,0.6,0.49,0.09,0.1,0.17
7,F,35,4,English,3,6,ok,bad,2,0.79,0.36,0.37,0.4,0.18,0.12,0.15
7,F,35,4,English,4,7,terrible,bad,2,0.98,0.64,0.42,0.07,0.04,0.01,0.01
7,F,35,4,English,5,3,amazing,amazing,5,0.05,0.03,0.13,0.32,0.5,0.98,0.92
7,F,35,4,English,6,9,terrible,amazing,5,0.12,0.1,0.01,0.5,0.14,1,0.88
7,F,35,4,English,7,1,amazing,ok,3,0.17,0.01,0.05,0.89,0.55,0.29,0.25
7,F,35,4,English,8,4,ok,ok,3,0.1,0.08,0.15,0.9,0.71,0.1,0.26
7,F,35,4,English,9,8,terrible,amazing,5,0.02,0.1,0.1,0.48,0.54,0.92,0.69
9,M,55,6,English,1,9,terrible,amazing,1,0.77,0.22,0.8,0.04,0.11,0.13,0.42
9,M,55,6,English,2,2,amazing,bad,2,0.41,0.28,0.8,0.59,0.5,0.42,0.51
9,M,55,6,English,3,7,terrible,amazing,2,0.58,0.41,0.51,0.41,0.45,0.18,0.67
9,M,55,6,English,4,1,amazing,good,4,0.11,0.03,0.1,0.33,0.93,0.7,0.55
9,M,55,6,English,5,3,amazing,terrible,3,0.32,0.19,0.38,0.56,0.54,0.29,0.27
9,M,55,6,English,6,8,terrible,bad,2,0.65,0.54,0.51,0.31,0.28,0.24,0.13
9,M,55,6,English,7,6,ok,ok,4,0.09,0.09,0.14,0.41,0.46,0.49,0.21
9,M,55,6,English,8,4,ok,ok,3,0.16,0.1,0.13,0.84,0.38,0.41,0.25
9,M,55,6,English,9,5,ok,ok,4,0.12,0.08,0.1,0.67,0.66,0.58,0.25
10,F,65,6,English,1,4,ok,good,4,0.07,0.05,0.07,0.45,0.61,0.59,0.6
10,F,65,6,English,2,9,terrible,ok,1,0.8,0.53,0.53,0.53,0.1,0.11,0.1
10,F,65,6,English,3,7,terrible,good,1,0.06,0.91,0.92,0.58,0.05,0.07,0.07
10,F,65,6,English,4,5,ok,terrible,4,0.04,0.02,0.04,0.55,0.54,0.55,0.53
10,F,65,6,English,5,8,terrible,ok,2,0.54,0.14,0.15,0.55,0.14,0.15,0.16
10,F,65,6,English,6,3,amazing,amazing,5,0.02,0.04,0.02,0.05,0.95,0.9,0.92
10,F,65,6,English,7,6,ok,good,4,0.07,0.04,0.16,0.06,0.51,0.48,0.49
10,F,65,6,English,8,2,amazing,amazing,5,0.74,0.04,0.06,0.49,0.71,0.88,0.91
10,F,65,6,English,9,1,amazing,good,5,0.01,0.02,0,0.59,0.86,0.84,0.87
11,M,25,4,English,1,5,ok,good,4,0.26,0.25,0.18,0.29,0.74,0.63,0.62
11,M,25,4,English,2,1,amazing,amazing,5,0.06,0.09,0.01,0.14,0.85,0.78,0.83
11,M,25,4,English,3,9,terrible,bad,2,0.68,0.35,0.53,0.44,0.19,0.12,0.15
11,M,25,4,English,4,7,terrible,good,1,0.44,0.32,0.54,0.39,0.14,0.19,0.15
11,M,25,4,English,5,8,terrible,terrible,2,0.47,0.43,0.39,0.26,0.07,0.08,0.2
11,M,25,4,English,6,3,amazing,ok,5,0.27,0.22,0.18,0.25,0.44,0.61,0.67
11,M,25,4,English,7,2,amazing,terrible,5,0.17,0.14,0.16,0.35,0.72,0.74,0.65
11,M,25,4,English,8,6,ok,good,4,0.22,0.16,0.15,0.28,0.57,0.7,0.69
11,M,25,4,English,9,4,ok,good,3,0.44,0.12,0.29,0.57,0.3,0.22,0.18
12,M,25,4,english,1,1,amazing,terrible,2,0.87,0.92,0.9,0.14,0.1,0.09,0.14
12,M,25,4,english,2,7,terrible,bad,2,0.86,0.91,0.93,0.08,0.06,0.09,0.11
12,M,25,4,english,3,8,terrible,terrible,1,0.87,0.95,0.89,0.12,0.1,0.1,0.14
12,M,25,4,english,4,3,amazing,amazing,5,0.14,0.1,0.1,0.07,0.87,0.94,0.91
12,M,25,4,english,5,5,ok,good,4,0.14,0.09,0.15,0.48,0.81,0.9,0.79
12,M,25,4,english,6,9,terrible,bad,2,0.83,0.92,0.82,0.16,0.1,0.09,0.12
12,M,25,4,english,7,4,ok,terrible,1,0.83,0.91,0.87,0.08,0.06,0.14,0.09
12,M,25,4,english,8,2,amazing,ok,3,0.09,0.1,0.08,0.8,0.54,0.47,0.41
12,M,25,4,english,9,6,ok,ok,3,0.09,0.1,0.08,0.69,0.48,0.47,0.47
13,F,25,4,english,1,8,terrible,good,2,0.03,0.05,0.05,0.03,0.86,0.86,0.53
13,F,25,4,english,2,3,amazing,amazing,5,0.07,0.04,0.05,0.05,0.91,0.82,0.75
13,F,25,4,english,3,7,terrible,good,4,0.07,0.08,0.08,0.06,0.89,0.82,0.71
13,F,25,4,english,4,2,amazing,bad,2,0.52,0.46,0.9,0.1,0.06,0.05,0.07
13,F,25,4,english,5,5,ok,good,4,0.05,0.06,0.05,0.05,0.88,0.88,0.88
13,F,25,4,english,6,9,terrible,bad,2,0.51,0.49,0.9,0.04,0.05,0.06,0.06
13,F,25,4,english,7,4,ok,amazing,4,0.05,0.06,0.05,0.04,0.89,0.87,0.88
13,F,25,4,english,8,1,amazing,good,4,0.05,0.07,0.07,0.06,0.9,0.89,0.89
13,F,25,4,english,9,6,ok,bad,2,0.75,0.44,0.92,0.07,0.06,0.05,0.07
14,M,25,0,English,1,1,amazing,bad,2,0.26,0.73,0.21,0,0.48,0.18,0.07
14,M,25,0,English,2,6,ok,bad,2,0.4,0.71,0.19,0,0.48,0.11,0.09
14,M,25,0,English,3,3,amazing,terrible,1,0.45,0.79,0.4,0,0.11,0.05,0.03
14,M,25,0,English,4,7,terrible,ok,3,0,0,0,1,1,0.38,0.3
14,M,25,0,English,5,5,ok,amazing,5,0,0,0,0,0.42,1,0.86
14,M,25,0,English,6,2,amazing,bad,2,0.45,0.63,0.45,0,0.26,0.05,0.04
14,M,25,0,English,7,8,terrible,amazing,5,0,0.08,0,0,0.99,0.94,0.23
14,M,25,0,English,8,9,terrible,bad,2,0.83,0.73,0.28,0,0,0.06,0
14,M,25,0,English,9,4,ok,good,4,0,0,0,0,0.87,0.64,0.16
15,F,35,4,English,1,9,terrible,amazing,5,0.77,0.58,0.2,0.46,0.19,0.78,0.6
15,F,35,4,English,2,3,amazing,terrible,1,0.81,0.17,0.83,0.3,0.18,0.12,0.2
15,F,35,4,English,3,5,ok,bad,2,0.71,0.76,0.85,0.25,0.22,0.26,0.19
15,F,35,4,English,4,1,amazing,ok,3,0.41,0.11,0.46,0.89,0.63,0.49,0.57
15,F,35,4,English,5,2,amazing,amazing,5,0.04,0.01,0.02,0.22,1,0.98,1
15,F,35,4,English,6,6,ok,ok,3,0.49,0.34,0.49,0.98,0.31,0.48,0.3
15,F,35,4,English,7,4,ok,amazing,5,0.02,0.01,0,0.2,1,0.98,0.99
15,F,35,4,English,8,7,terrible,bad,2,0.99,0.99,0.99,0.01,0.01,0.02,0.01
15,F,35,4,English,9,8,terrible,terrible,1,1,0.99,1,0.02,0.02,0.02,0.03
16,M,45,4,English,1,7,terrible,terrible,1,0.95,0.94,0.95,0.04,0.01,0.04,0.11
16,M,45,4,English,2,4,ok,amazing,5,0.05,0.05,0.01,0.01,0.96,0.95,0.99
16,M,45,4,English,3,6,ok,terrible,1,0.96,0.95,0.01,0.97,0.02,0.02,0.12
16,M,45,4,English,4,8,terrible,bad,2,0.81,0.8,0.03,0.76,0.16,0.17,0.17
16,M,45,4,English,5,5,ok,terrible,1,0.92,0.9,0.01,0.98,0.05,0.05,0.06
16,M,45,4,English,6,3,amazing,good,4,0.01,0.01,0.01,0.97,0.95,0.95,0.93
16,M,45,4,English,7,1,amazing,bad,2,0.75,0.76,0.04,0.82,0.27,0.26,0.12
16,M,45,4,English,8,9,terrible,bad,2,0.92,0.93,0.7,0.94,0.06,0.07,0.06
16,M,45,4,English,9,2,amazing,good,4,0.03,0.02,0.01,0.98,0.98,0.98,0.95
17,F,35,6,English,1,4,ok,terrible,1,0.54,0.66,0.42,0.02,0.02,0.03,0.02
17,F,35,6,English,2,8,terrible,bad,2,0.63,0.52,0.31,0,0.01,0.01,0
17,F,35,6,English,3,1,amazing,amazing,5,0,0.02,0.01,0,0.9,0.93,0.8
17,F,35,6,English,4,7,terrible,good,4,0.02,0.01,0,0.51,0.92,0.77,0.21
17,F,35,6,English,5,3,amazing,good,4,0.02,0.01,0.01,0.54,0.93,0.93,0.36
17,F,35,6,English,6,5,ok,amazing,5,0.02,0.01,0.01,0.01,0.88,0.88,0.85
17,F,35,6,English,7,6,ok,bad,2,0.55,0.7,0.61,0.02,0.02,0.01,0.02
17,F,35,6,English,8,2,amazing,bad,2,0.7,0.56,0.64,0.03,0.02,0.01,0.03
17,F,35,6,English,9,9,terrible,bad,2,0.43,0.65,0.57,0,0.01,0.01,0.01
18,M,35,4,English,1,2,amazing,amazing,5,0.04,0.04,0.05,0.22,0.67,0.93,0.96
18,M,35,4,English,2,4,ok,terrible,1,0.76,0.64,0.54,0.34,0.29,0.14,0.1
18,M,35,4,English,3,6,ok,ok,3,0.41,0.31,0.29,0.94,0.45,0.42,0.38
18,M,35,4,English,4,1,amazing,bad,2,0.68,0.64,0.49,0.31,0.2,0.11,0.1
18,M,35,4,English,5,8,terrible,ok,3,0.35,0.38,0.28,0.89,0.48,0.44,0.46
18,M,35,4,English,6,7,terrible,amazing,5,0.07,0.08,0.08,0.13,0.7,0.86,0.87
18,M,35,4,English,7,5,ok,terrible,1,0.72,0.59,0.38,0.26,0.29,0.02,0.03
18,M,35,4,English,8,3,amazing,ok,3,0.41,0.16,0.19,0.72,0.45,0.25,0.21
18,M,35,4,English,9,9,terrible,terrible,1,0.83,0.8,0.68,0.23,0.25,0.03,0.07
19,M,25,4,English and Korean,1,2,amazing,ok,4,0.16,0.16,0.16,1,0.63,0.59,0
19,M,25,4,English and Korean,2,6,ok,bad,2,0.46,0.19,0.45,0.32,0.31,0.36,0.18
19,M,25,4,English and Korean,3,3,amazing,good,4,0.11,0.06,0.12,0,0.68,0.7,0.46
19,M,25,4,English and Korean,4,9,terrible,good,4,0,0,0,0,1,0.81,0.67
19,M,25,4,English and Korean,5,8,terrible,ok,3,0.1,0.07,0.11,0.72,0.65,0.51,0.05
19,M,25,4,English and Korean,6,7,terrible,amazing,5,0,0,0,0,1,0.7,0.83
19,M,25,4,English and Korean,7,1,amazing,amazing,5,0,0,0,0,1,1,0.84
19,M,25,4,English and Korean,8,5,ok,amazing,5,0,0,0,0,1,1,1
19,M,25,4,English and Korean,9,4,ok,bad,2,0.48,0.42,0.35,0,0.19,0.24,0.15
20,F,35,6,English,1,4,ok,terrible,1,0.78,0.58,0.78,0.34,0.02,0.04,0.08
20,F,35,6,English,2,8,terrible,terrible,1,0.79,0.75,0.64,0.16,0.2,0.12,0.08
20,F,35,6,English,3,2,amazing,bad,2,0.87,0.82,0.71,0.41,0.04,0.06,0.02
20,F,35,6,English,4,1,amazing,terrible,1,0.85,0.84,0.85,0.32,0.04,0.08,0.16
20,F,35,6,English,5,7,terrible,terrible,1,0.88,0.77,0.86,0.43,0.06,0.05,0.14
20,F,35,6,English,6,6,ok,bad,2,0.85,0.84,0.77,0.51,0.06,0.06,0.19
20,F,35,6,English,7,9,terrible,bad,2,0.81,0.76,0.81,0.44,0.06,0.07,0.09
20,F,35,6,English,8,5,ok,terrible,1,0.84,0.78,0.78,0.46,0.07,0.07,0.12
20,F,35,6,English,9,3,amazing,bad,2,0.75,0.73,0.74,0.44,0.09,0.08,0.09
21,M,25,4,english,1,8,terrible,ok,2,0.39,0.53,0.42,0.51,0.62,0.31,0.35
21,M,25,4,english,2,5,ok,good,4,0,0,0,0.58,0.6,0.55,0.83
