categoryID,type,featureSetNum,animal,N,normalizedProb,sd,se,ci
1,animal,1,ant,32,0.301160864,0.197121773,0.034846536,0.071069978
1,animal,2,ant,32,0.125592052,0.081896943,0.014477471,0.029526997
1,animal,3,ant,32,0.145558033,0.072358284,0.012791258,0.026087943
1,animal,4,ant,32,0.121870539,0.065325399,0.011548008,0.023552318
1,animal,5,ant,32,0.095196163,0.066100973,0.011685112,0.023831942
1,animal,6,ant,32,0.06916195,0.046602505,0.008238237,0.016801995
1,animal,7,ant,32,0.077731511,0.053416139,0.009442729,0.019258572
1,animal,8,ant,32,0.063728888,0.043219732,0.007640241,0.015582375
1,person,1,ant,32,0.126508885,0.019316911,0.00341478,0.006964489
1,person,2,ant,32,0.1203603,0.024956614,0.004411748,0.008997819
1,person,3,ant,32,0.115839545,0.023313864,0.004121348,0.008405544
1,person,4,ant,32,0.116567996,0.021033545,0.003718241,0.007583402
1,person,5,ant,32,0.133289063,0.019135109,0.003382641,0.006898942
1,person,6,ant,32,0.134288324,0.02045652,0.003616236,0.007375362
1,person,7,ant,32,0.125149977,0.021530935,0.003806168,0.00776273
1,person,8,ant,32,0.12799591,0.016643739,0.002942225,0.006000708
2,animal,1,bat,28,0.234440873,0.109888814,0.020767034,0.042610434
2,animal,2,bat,28,0.079711195,0.0618015,0.011679386,0.02396412
2,animal,3,bat,28,0.137772566,0.09050493,0.017103824,0.035094148
2,animal,4,bat,28,0.072405522,0.063790735,0.012055316,0.024735465
2,animal,5,bat,28,0.202368505,0.103530229,0.019565374,0.040144832
2,animal,6,bat,28,0.079163718,0.057540047,0.010874047,0.022311701
2,animal,7,bat,28,0.122984582,0.094131341,0.017789151,0.036500323
2,animal,8,bat,28,0.071153038,0.053687923,0.010146064,0.020818003
2,person,1,bat,28,0.083753318,0.054202967,0.010243398,0.021017717
2,person,2,bat,28,0.112986245,0.052867914,0.009991097,0.020500037
2,person,3,bat,28,0.119248364,0.049367496,0.00932958,0.019142717
2,person,4,bat,28,0.146386289,0.054081794,0.010220498,0.020970731
2,person,5,bat,28,0.105936477,0.046074352,0.008707234,0.017865769
2,person,6,bat,28,0.133837752,0.067327879,0.012723773,0.026107026
2,person,7,bat,28,0.121904194,0.04521775,0.008545352,0.017533613
2,person,8,bat,28,0.175947361,0.09300117,0.017575569,0.036062089
3,animal,1,bear,32,0.215319,0.097553303,0.01724515,0.035171716
3,animal,2,bear,32,0.136874392,0.073557376,0.01300323,0.026520262
3,animal,3,bear,32,0.136865177,0.061950531,0.01095141,0.022335548
3,animal,4,bear,32,0.110954408,0.052721083,0.009319859,0.019007978
3,animal,5,bear,32,0.119635571,0.06118822,0.010816651,0.022060706
3,animal,6,bear,32,0.104242002,0.056629643,0.010010801,0.020417163
3,animal,7,bear,32,0.086645358,0.041120061,0.007269069,0.014825363
3,animal,8,bear,32,0.089464093,0.044462126,0.007859868,0.016030306
3,person,1,bear,31,0.127427156,0.021972441,0.003946367,0.008059556
3,person,2,bear,31,0.13428116,0.025184805,0.004523325,0.009237861
3,person,3,bear,31,0.116944428,0.031587378,0.005673261,0.011586344
3,person,4,bear,31,0.115093771,0.020881871,0.003750495,0.007659532
3,person,5,bear,31,0.1200598,0.022427275,0.004028057,0.008226391
3,person,6,bear,31,0.133081086,0.025631673,0.004603584,0.009401774
3,person,7,bear,31,0.117528718,0.026707742,0.004796852,0.009796479
3,person,8,bear,31,0.135583879,0.037497462,0.006734743,0.01375418
4,animal,1,bee,30,0.192417849,0.08110133,0.014807009,0.030283734
4,animal,2,bee,30,0.184236945,0.083034359,0.015159931,0.031005539
4,animal,3,bee,30,0.120109762,0.064965285,0.011860984,0.024258436
4,animal,4,bee,30,0.119094689,0.062718351,0.011450752,0.023419417
4,animal,5,bee,30,0.11264687,0.056640562,0.010341104,0.021149933
4,animal,6,bee,30,0.116802494,0.06328128,0.011553528,0.023629618
4,animal,7,bee,30,0.077860797,0.045171709,0.008247188,0.016867393
4,animal,8,bee,30,0.076830596,0.044367977,0.008100447,0.016567275
4,person,1,bee,30,0.126065568,0.033429094,0.00610329,0.012482629
4,person,2,bee,30,0.129682693,0.02250999,0.004109743,0.008405369
4,person,3,bee,30,0.133394762,0.03256284,0.005945134,0.012159164
4,person,4,bee,30,0.138452904,0.060688976,0.01108024,0.022661636
4,person,5,bee,30,0.104305893,0.031828465,0.005811056,0.011884944
4,person,6,bee,30,0.125806223,0.018887308,0.003448335,0.007052637
4,person,7,bee,30,0.114428794,0.035347823,0.0064536,0.013199094
4,person,8,bee,30,0.127863163,0.027195884,0.004965266,0.01015511
5,animal,1,bird,31,0.188601753,0.065788829,0.011816023,0.024131537
5,animal,2,bird,31,0.177582091,0.054919573,0.009863847,0.020144662
5,animal,3,bird,31,0.124282462,0.04066618,0.007303862,0.014916475
5,animal,4,bird,31,0.123270598,0.040546939,0.007282445,0.014872737
5,animal,5,bird,31,0.109882619,0.050618041,0.009091269,0.018566847
5,animal,6,bird,31,0.103669242,0.05069304,0.009104739,0.018594357
5,animal,7,bird,31,0.087609565,0.039094072,0.007021503,0.014339821
5,animal,8,bird,31,0.085101669,0.044016689,0.007905631,0.016145452
5,person,1,bird,31,0.140273101,0.061933168,0.011123525,0.022717269
5,person,2,bird,31,0.147179079,0.05618642,0.010091379,0.020609345
5,person,3,bird,31,0.141360963,0.058254975,0.010462902,0.021368097
5,person,4,bird,31,0.157548951,0.056113599,0.0100783,0.020582634
5,person,5,bird,31,0.098935384,0.051518756,0.009253042,0.018897232
5,person,6,bird,31,0.101720046,0.054561975,0.00979962,0.020013494
5,person,7,bird,31,0.096952914,0.056803033,0.010202126,0.020835521
5,person,8,bird,31,0.116029563,0.063206002,0.011352133,0.023184149
6,animal,1,buffalo,29,0.274718337,0.12785154,0.023741435,0.048632125
6,animal,2,buffalo,29,0.155711647,0.060339922,0.011204842,0.022952079
6,animal,3,buffalo,29,0.122877287,0.082315384,0.015285583,0.031311098
6,animal,4,buffalo,29,0.103473271,0.065717173,0.012203373,0.024997476
6,animal,5,buffalo,29,0.127188041,0.05997956,0.011137925,0.022815005
6,animal,6,buffalo,29,0.085787136,0.055198491,0.010250102,0.020996383
6,animal,7,buffalo,29,0.069772448,0.060191121,0.011177211,0.022895478
6,animal,8,buffalo,29,0.060471832,0.048593819,0.009023646,0.0184841
6,person,1,buffalo,29,0.124559701,0.02689762,0.004994763,0.010231307
6,person,2,buffalo,29,0.139797557,0.02874514,0.005337838,0.010934066
6,person,3,buffalo,29,0.110766982,0.035341204,0.006562697,0.013443075
6,person,4,buffalo,29,0.122175217,0.027727689,0.005148903,0.010547049
6,person,5,buffalo,29,0.125595512,0.027860909,0.005173641,0.010597723
6,person,6,buffalo,29,0.13621719,0.030171793,0.005602761,0.011476736
6,person,7,buffalo,29,0.109638526,0.026028654,0.0048334,0.00990077
6,person,8,buffalo,29,0.131249315,0.036599202,0.006796301,0.013921592
7,animal,1,cat,29,0.219312407,0.088990265,0.016525077,0.033850086
7,animal,2,cat,29,0.081613411,0.055182827,0.010247194,0.020990425
7,animal,3,cat,29,0.197523194,0.068565588,0.01273231,0.026080955
7,animal,4,cat,29,0.080332912,0.055631121,0.01033044,0.021160947
7,animal,5,cat,29,0.147728515,0.042715916,0.007932146,0.016248266
7,animal,6,cat,29,0.067860692,0.043153426,0.00801339,0.016414685
7,animal,7,cat,29,0.1396569,0.053129781,0.009865953,0.020209488
7,animal,8,cat,29,0.065971969,0.043592873,0.008094993,0.016581842
7,person,1,cat,29,0.125629925,0.046936993,0.008715981,0.017853877
7,person,2,cat,29,0.123718173,0.046880202,0.008705435,0.017832275
7,person,3,cat,29,0.125631887,0.045752785,0.008496079,0.017403429
7,person,4,cat,29,0.125238042,0.047856321,0.008886696,0.018203571
7,person,5,cat,29,0.130211031,0.049018947,0.00910259,0.01864581
7,person,6,cat,29,0.122686707,0.037846973,0.007028007,0.014396219
7,person,7,cat,29,0.12485578,0.04210648,0.007818977,0.016016448
7,person,8,cat,29,0.122028455,0.03746468,0.006957016,0.014250802
8,animal,1,cow,30,0.261340414,0.115141427,0.021021852,0.042994515
8,animal,2,cow,30,0.131363255,0.090680538,0.016555925,0.033860669
8,animal,3,cow,30,0.188445992,0.096508945,0.017620042,0.036037032
8,animal,4,cow,30,0.100835618,0.058336423,0.010650725,0.021783178
8,animal,5,cow,30,0.092096124,0.070906014,0.012945608,0.026476741
8,animal,6,cow,30,0.076060487,0.051641911,0.00942848,0.019283406
8,animal,7,cow,30,0.069274966,0.048663834,0.00888476,0.018171374
8,animal,8,cow,30,0.080583144,0.070608718,0.012891329,0.026365729
8,person,1,cow,30,0.135353864,0.026602559,0.004856941,0.009933559
8,person,2,cow,30,0.101799655,0.036245774,0.006617543,0.013534394
8,person,3,cow,30,0.131144453,0.023710991,0.004329015,0.00885383
8,person,4,cow,30,0.115630746,0.035991886,0.006571189,0.013439591
8,person,5,cow,30,0.122346693,0.017188377,0.003138154,0.006418246
8,person,6,cow,30,0.123938895,0.031514436,0.005753722,0.011767684
8,person,7,cow,30,0.127726722,0.023284076,0.004251071,0.008694417
8,person,8,cow,30,0.142058971,0.024231649,0.004424074,0.009048246
9,animal,1,dog,27,0.223401659,0.095427788,0.018365086,0.037749976
9,animal,2,dog,27,0.130897967,0.049152862,0.009459473,0.019444225
9,animal,3,dog,27,0.150987291,0.049168503,0.009462483,0.019450412
9,animal,4,dog,27,0.110144639,0.045775871,0.008809571,0.018108332
9,animal,5,dog,27,0.099579176,0.045108302,0.008681097,0.01784425
9,animal,6,dog,27,0.094177981,0.039192448,0.00754259,0.015504016
9,animal,7,dog,27,0.082409309,0.042771619,0.008231402,0.016919889
9,animal,8,dog,27,0.108401979,0.053486099,0.010293405,0.021158396
9,person,1,dog,27,0.160109749,0.052099801,0.010026611,0.020609995
9,person,2,dog,27,0.134037025,0.038084841,0.007329431,0.015065861
9,person,3,dog,27,0.102485893,0.036935729,0.007108284,0.014611288
9,person,4,dog,27,0.11527775,0.033978681,0.0065392,0.013441518
9,person,5,dog,27,0.124647723,0.037062616,0.007132704,0.014661483
9,person,6,dog,27,0.115973393,0.02989616,0.005753519,0.011826527
9,person,7,dog,27,0.102968534,0.036721515,0.007067059,0.014526548
9,person,8,dog,27,0.144499933,0.052900987,0.0101808,0.020926934
10,animal,1,dolphin,33,0.273477881,0.102176379,0.017786625,0.036230169
10,animal,2,dolphin,33,0.150508376,0.068150256,0.011863437,0.02416503
10,animal,3,dolphin,33,0.154681929,0.073109483,0.012726727,0.025923496
10,animal,4,dolphin,33,0.127851164,0.070998838,0.012359311,0.025175093
10,animal,5,dolphin,33,0.088736077,0.060044932,0.010452481,0.021291007
10,animal,6,dolphin,33,0.073507972,0.040668269,0.007079437,0.014420341
10,animal,7,dolphin,33,0.071966425,0.043988585,0.00765743,0.015597674
10,animal,8,dolphin,33,0.059270177,0.043649933,0.007598478,0.015477593
10,person,1,dolphin,33,0.157402334,0.040045803,0.00697108,0.014199624
10,person,2,dolphin,33,0.135865312,0.034648912,0.006031601,0.01228597
10,person,3,dolphin,33,0.110993745,0.032887039,0.005724899,0.011661237
10,person,4,dolphin,33,0.140774783,0.033821723,0.005887606,0.011992661
10,person,5,dolphin,33,0.127954548,0.037136322,0.006464604,0.013167967
10,person,6,dolphin,33,0.114734056,0.029799572,0.00518744,0.010566469
10,person,7,dolphin,33,0.102036832,0.037027767,0.006445707,0.013129475
10,person,8,dolphin,33,0.110238389,0.037066249,0.006452406,0.01314312
11,animal,1,duck,36,0.218842916,0.125182968,0.020863828,0.042355823
11,animal,2,duck,36,0.10467175,0.056682242,0.00944704,0.019178511
11,animal,3,duck,36,0.168921212,0.052380133,0.008730022,0.017722887
11,animal,4,duck,36,0.093737885,0.044360261,0.007393377,0.015009353
11,animal,5,duck,36,0.117674968,0.061900734,0.010316789,0.020944195
11,animal,6,duck,36,0.104557931,0.055013734,0.009168956,0.01861397
11,animal,7,duck,36,0.097530692,0.063219596,0.010536599,0.021390434
11,animal,8,duck,36,0.094062646,0.053860789,0.008976798,0.018223869
11,person,1,duck,34,0.065915552,0.051691458,0.008865012,0.018036002
11,person,2,duck,34,0.175616138,0.062443658,0.010708999,0.021787622
11,person,3,duck,34,0.084278913,0.059327966,0.010174662,0.020700506
11,person,4,duck,34,0.183053915,0.051592043,0.008847962,0.018001315
11,person,5,duck,34,0.073720614,0.057398913,0.009843832,0.020027428
11,person,6,duck,34,0.171729271,0.070069409,0.012016805,0.024448373
11,person,7,duck,34,0.072216755,0.060518797,0.010378888,0.021116007
11,person,8,duck,34,0.173468842,0.061382011,0.010526928,0.021417196
12,animal,1,elephant,30,0.343981514,0.158440231,0.028927096,0.059162555
12,animal,2,elephant,30,0.053687395,0.058260039,0.010636779,0.021754656
12,animal,3,elephant,30,0.215226001,0.107071272,0.01954845,0.03998107
12,animal,4,elephant,30,0.056541165,0.060441147,0.011034993,0.022569095
12,animal,5,elephant,30,0.123284547,0.086632065,0.015816779,0.032348945
12,animal,6,elephant,30,0.05795226,0.046897325,0.008562241,0.017511749
12,animal,7,elephant,30,0.105129186,0.07945602,0.014506618,0.029669366
12,animal,8,elephant,30,0.044197932,0.048832369,0.00891553,0.018234306
12,person,1,elephant,30,0.142725791,0.042205564,0.007705647,0.015759817
12,person,2,elephant,30,0.085522486,0.043349192,0.007914443,0.016186854
12,person,3,elephant,30,0.156685215,0.052193625,0.009529209,0.01948942
12,person,4,elephant,30,0.087069492,0.04938061,0.009015625,0.018439023
12,person,5,elephant,30,0.123479608,0.037096897,0.006772936,0.013852209
12,person,6,elephant,30,0.149242476,0.040641977,0.007420176,0.015175964
12,person,7,elephant,30,0.115753958,0.041384552,0.007555751,0.015453246
12,person,8,elephant,30,0.139520974,0.043155599,0.007879098,0.016114565
13,animal,1,fish,29,0.248296925,0.132182831,0.024545736,0.05027966
13,animal,2,fish,29,0.115057166,0.064682712,0.012011278,0.024603988
13,animal,3,fish,29,0.114201339,0.067869899,0.012603124,0.025816329
13,animal,4,fish,29,0.072208938,0.045965592,0.008535596,0.017484376
13,animal,5,fish,29,0.191200506,0.082141851,0.015253359,0.031245089
13,animal,6,fish,29,0.102476791,0.053133774,0.009866694,0.020211007
13,animal,7,fish,29,0.095027313,0.061629777,0.011444362,0.023442713
13,animal,8,fish,29,0.061531023,0.037534228,0.006969931,0.014277257
13,person,1,fish,29,0.071647612,0.056536045,0.01049848,0.021505161
13,person,2,fish,29,0.064410664,0.04968658,0.009226566,0.018899764
13,person,3,fish,29,0.076184963,0.057187994,0.010619544,0.02175315
13,person,4,fish,29,0.07260264,0.056550305,0.010501128,0.021510586
13,person,5,fish,29,0.171713342,0.067119535,0.012463785,0.025530906
13,person,6,fish,29,0.161570805,0.075731204,0.014062931,0.028806609
13,person,7,fish,29,0.1925343,0.069414722,0.01288999,0.026403948
13,person,8,fish,29,0.189335674,0.095542764,0.017741846,0.036342524
14,animal,1,fox,27,0.249892732,0.114989948,0.022129826,0.045488508
14,animal,2,fox,27,0.154593854,0.10067384,0.01937469,0.039825245
14,animal,3,fox,27,0.116317225,0.057657738,0.011096237,0.022808642
14,animal,4,fox,27,0.087243547,0.059706221,0.011490468,0.023618994
14,animal,5,fox,27,0.13869298,0.081032548,0.015594721,0.032055408
14,animal,6,fox,27,0.08587619,0.049282486,0.009484419,0.019495502
14,animal,7,fox,27,0.094241754,0.052997658,0.010199404,0.020965175
14,animal,8,fox,27,0.073141718,0.056938258,0.010957773,0.022524025
14,person,1,fox,26,0.138989197,0.03391288,0.006650863,0.013697709
14,person,2,fox,26,0.141812367,0.028413441,0.005572334,0.011476437
14,person,3,fox,26,0.116099162,0.032653397,0.006403858,0.013188992
14,person,4,fox,26,0.113201363,0.03111136,0.00610144,0.01256615
14,person,5,fox,26,0.118510496,0.021102418,0.004138525,0.008523451
14,person,6,fox,26,0.120787163,0.03377188,0.006623211,0.013640757
14,person,7,fox,26,0.124447509,0.026378759,0.0051733,0.010654611
14,person,8,fox,26,0.126152743,0.022569052,0.004426155,0.009115837
15,animal,1,frog,28,0.216787889,0.124763573,0.023578099,0.048378263
15,animal,2,frog,28,0.153602581,0.061659415,0.011652534,0.023909025
15,animal,3,frog,28,0.174173283,0.059520274,0.011248274,0.023079553
15,animal,4,frog,28,0.148605254,0.047115789,0.008904047,0.018269596
15,animal,5,frog,28,0.087156595,0.051259655,0.009687164,0.019876419
15,animal,6,frog,28,0.070273107,0.039754123,0.007512823,0.01541504
15,animal,7,frog,28,0.078485675,0.054927977,0.010380412,0.021298846
15,animal,8,frog,28,0.070915615,0.04583093,0.008661232,0.017771379
15,person,1,frog,27,0.09051822,0.055307452,0.010643924,0.021878899
15,person,2,frog,27,0.075815029,0.041892383,0.008062193,0.016572075
15,person,3,frog,27,0.082223912,0.046468866,0.008942938,0.018382471
15,person,4,frog,27,0.081100627,0.045954155,0.008843881,0.018178858
15,person,5,frog,27,0.157290371,0.044990239,0.008658375,0.017797546
15,person,6,frog,27,0.170915443,0.068522818,0.013187222,0.027106724
15,person,7,frog,27,0.15979203,0.04184254,0.008052601,0.016552358
15,person,8,frog,27,0.182344368,0.078194179,0.015048477,0.030932587
16,animal,1,goat,31,0.140839087,0.051219002,0.009199204,0.018787282
16,animal,2,goat,31,0.111537694,0.041104198,0.007382532,0.015077141
16,animal,3,goat,31,0.125128249,0.046003945,0.008262553,0.016874383
16,animal,4,goat,31,0.110256952,0.039621985,0.007116319,0.014533461
16,animal,5,goat,31,0.150724922,0.057743508,0.01037104,0.02118049
16,animal,6,goat,31,0.113504668,0.034880027,0.006264638,0.012794097
16,animal,7,goat,31,0.134798265,0.052311844,0.009395485,0.019188139
16,animal,8,goat,31,0.113210163,0.040400398,0.007256126,0.014818986
16,person,1,goat,31,0.129182425,0.014187098,0.002548078,0.005203869
16,person,2,goat,31,0.123951789,0.01484682,0.002666568,0.005445858
16,person,3,goat,31,0.127321938,0.010511307,0.001887886,0.003855578
16,person,4,goat,31,0.127733667,0.013513642,0.002427122,0.004956844
16,person,5,goat,31,0.12784305,0.015097295,0.002711554,0.005537733
16,person,6,goat,31,0.119105782,0.011989982,0.002153464,0.004397961
16,person,7,goat,31,0.122365065,0.014631903,0.002627967,0.005367026
16,person,8,goat,31,0.122496284,0.018061767,0.003243989,0.00662511
17,animal,1,goose,27,0.267269342,0.192428906,0.03703296,0.07612234
17,animal,2,goose,27,0.094675857,0.059402102,0.01143194,0.023498689
