feature,animal,featureNum
small,ant,1
strong,ant,2
busy,ant,3
scary,bat,1
blind,bat,2
nocturnal,bat,3
scary,bear,1
big,bear,2
fierce,bear,3
busy,bee,1
small,bee,2
angry,bee,3
free,bird,1
graceful,bird,2
small,bird,3
big,buffalo,1
strong,buffalo,2
wild,buffalo,3
independent,cat,1
lazy,cat,2
soft,cat,3
fat,cow,1
dumb,cow,2
lazy,cow,3
loyal,dog,1
friendly,dog,2
happy,dog,3
smart,dolphin,1
friendly,dolphin,2
playful,dolphin,3
loud,duck,1
cute,duck,2
quacking,duck,3
huge,elephant,1
smart,elephant,2
heavy,elephant,3
scaly,fish,1
wet,fish,2
smelly,fish,3
sly,fox,1
smart,fox,2
pretty,fox,3
slimy,frog,1
noisy,frog,2
jumpy,frog,3
funny,goat,1
hungry,goat,2
loud,goat,3
loud,goose,1
mean,goose,2
annoying,goose,3
fast,horse,1
strong,horse,2
beautiful,horse,3
jumpy,kangaroo,1
bouncy,kangaroo,2
cute,kangaroo,3
ferocious,lion,1
scary,lion,2
strong,lion,3
funny,monkey,1
smart,monkey,2
playful,monkey,3
wise,owl,1
quiet,owl,2
nocturnal,owl,3
strong,ox,1
big,ox,2
slow,ox,3
cold,penguin,1
cute,penguin,2
funny,penguin,3
dirty,pig,1
fat,pig,2
smelly,pig,3
fast,rabbit,1
furry,rabbit,2
cute,rabbit,3
scary,shark,1
dangerous,shark,2
mean,shark,3
wooly,sheep,1
fluffy,sheep,2
dumb,sheep,3
striped,tiger,1
fierce,tiger,2
scary,tiger,3
large,whale,1
graceful,whale,2
majestic,whale,3
scary,wolf,1
mean,wolf,2
angry,wolf,3
striped,zebra,1
exotic,zebra,2
fast,zebra,3